gamma_c,F0,F_bar,h0_attackable_frac,h0_hacks_per_year,h0_med_effort,h0_med_blast,h0_med_loss_hackw,h15_attackable_frac,h15_hacks_per_year,h15_med_effort,h15_med_blast,h15_med_loss_hackw,Vstar_h0,Vstar_h2
0.001,0.2,12.0,1.0,115.44585428268883,10.784780312933542,0.725875071289293,9.981029507829168,1.0,49.91224966490748,7.778431052729534,0.2427157982703284,5.733918030073401,0.7209895406498275,2.839400230845331
0.001,0.2,25.0,1.0,71.4265431370645,10.784780312933542,0.725875071289293,13.037306012875517,1.0,29.36147969100382,7.778431052729534,0.2427157982703284,7.416781777526766,0.7209895406498275,2.839400230845331
0.001,0.2,50.0,1.0,43.31058115259847,10.784780312933542,0.725875071289293,15.869737578452371,1.0,17.440535196383472,7.778431052729534,0.2427157982703284,9.370190418818732,0.7209895406498275,2.839400230845331
0.001,0.4,12.0,1.0,110.62264293521238,10.784780312933542,0.725875071289293,10.467755922964654,1.0,43.198323732658196,7.778431052729534,0.2427157982703284,7.097864129582268,1.366368319327953,5.381030240498073
0.001,0.4,25.0,1.0,68.52331190609814,10.784780312933542,0.725875071289293,13.379992159766518,1.0,25.85360407866272,7.778431052729534,0.2427157982703284,8.721442941895779,1.366368319327953,5.381030240498073
0.001,0.4,50.0,1.0,41.66253058676634,10.784780312933542,0.725875071289293,16.469211187095194,1.0,15.597835707411665,7.778431052729534,0.2427157982703284,11.788208192528932,1.366368319327953,5.381030240498073
0.001,0.8,12.0,1.0,100.59099267089975,10.784780312933542,0.725875071289293,12.095649223260766,0.568,32.08473749904163,9.045476603960733,0.264901002593164,9.363380177488567,2.634573718643367,10.435403698850093
0.001,0.8,25.0,1.0,62.60427498026946,10.784780312933542,0.725875071289293,15.219408066661464,0.568,20.06514169361663,9.045476603960733,0.264901002593164,12.946658407309249,2.634573718643367,10.435403698850093
0.001,0.8,50.0,1.0,38.334090867381335,10.784780312933542,0.725875071289293,18.10333683008171,0.568,12.5566455337091,9.045476603960733,0.264901002593164,19.571009240125715,2.634573718643367,10.435403698850093
0.001,1.5,12.0,1.0,81.72668787455814,10.784780312933542,0.725875071289293,15.034630845071547,0.278,22.496046142322577,10.546349873331803,0.28716770939711334,13.824843074874025,4.879150025023301,19.326048786591187
0.001,1.5,25.0,1.0,51.87445503497672,10.784780312933542,0.725875071289293,18.0383578999824,0.278,14.902560491944527,10.546349873331803,0.28716770939711334,22.285544959144936,4.879150025023301,19.326048786591187
0.001,1.5,50.0,1.0,32.40406537758585,10.784780312933542,0.725875071289293,21.877576372874803,0.278,9.78121632225028,10.546349873331803,0.28716770939711334,32.5850040853386,4.879150025023301,19.326048786591187
0.002,0.2,12.0,1.0,103.96159065756564,8.45552775649569,0.6374749149467186,9.798747381350685,1.0,42.41314822161183,5.905267191735311,0.20307291129439092,5.688165170213739,0.9182934587778036,3.637310616342983
0.002,0.2,25.0,1.0,63.86729584799849,8.45552775649569,0.6374749149467186,12.451204723738003,1.0,25.085758816255435,5.905267191735311,0.20307291129439092,7.584359031724495,0.9182934587778036,3.637310616342983
0.002,0.2,50.0,1.0,38.70051933261775,8.45552775649569,0.6374749149467186,15.29668894387972,1.0,15.00808075802465,5.905267191735311,0.20307291129439092,10.33129189993723,0.9182934587778036,3.637310616342983
0.002,0.4,12.0,1.0,98.82095627408994,8.45552775649569,0.6374749149467186,10.856589546146916,0.922,35.522219427411315,6.112188900163542,0.2079027260114682,6.997113124229609,1.710474319751723,6.775096068413125
0.002,0.4,25.0,1.0,60.86061052491745,8.45552775649569,0.6374749149467186,13.635639068056616,0.922,21.536659673372817,6.112188900163542,0.2079027260114682,9.771607381599543,1.710474319751723,6.775096068413125
0.002,0.4,50.0,1.0,37.01995262651596,8.45552775649569,0.6374749149467186,16.484455305157738,0.922,13.157505829858078,6.112188900163542,0.2079027260114682,13.186884749233261,1.710474319751723,6.775096068413125
0.002,0.8,12.0,1.0,88.12749197699401,8.45552775649569,0.6374749149467186,11.891629204625744,0.454,26.38398493450699,7.47171468410943,0.23681920057690525,10.370486194041034,3.241569800619193,12.839682278801831
0.002,0.8,25.0,1.0,54.73030976376657,8.45552775649569,0.6374749149467186,14.858529142704946,0.454,16.77565170648239,7.47171468410943,0.23681920057690525,15.058382766263863,3.241569800619193,12.839682278801831
0.002,0.8,50.0,1.0,33.6257716076485,8.45552775649569,0.6374749149467186,19.11205659888757,0.454,10.653056987266801,7.47171468410943,0.23681920057690525,25.389964241929007,3.241569800619193,12.839682278801831
0.002,1.5,12.0,0.846,68.72558539729573,8.837584923153104,0.6537209031468603,15.10378064828168,0.232,18.56986803744983,8.65204598078702,0.25836940156572874,17.23484709641341,5.9004541871183775,23.371379215327842
0.002,1.5,25.0,0.846,43.95667725959142,8.837584923153104,0.6537209031468603,19.16875118282255,0.232,12.564968195237576,8.65204598078702,0.25836940156572874,27.522443825774463,5.9004541871183775,23.371379215327842
0.002,1.5,50.0,0.846,27.748147779280128,8.837584923153104,0.6537209031468603,23.388051082352955,0.232,8.38344362230507,8.65204598078702,0.25836940156572874,45.028268585726146,5.9004541871183775,23.371379215327842
0.004,0.2,12.0,1.0,91.1913888753765,6.470292673791674,0.5399563523966163,9.731474669109831,1.0,34.82428564684615,4.375748035825487,0.1633989309383112,5.720046102503857,1.1899748120933815,4.686357520682969
0.004,0.2,25.0,1.0,55.63685805594422,6.470292673791674,0.5399563523966163,12.354158957131759,1.0,20.782255902730178,4.375748035825487,0.1633989309383112,8.083485954087399,1.1899748120933815,4.686357520682969
0.004,0.2,50.0,1.0,33.72353153748128,6.470292673791674,0.5399563523966163,15.653848741999074,1.0,12.548644279895278,4.375748035825487,0.1633989309383112,10.910857059039996,1.1899748120933815,4.686357520682969
0.004,0.4,12.0,1.0,85.6934291269474,6.470292673791674,0.5399563523966163,10.35578734290218,0.716,28.31899015005512,4.875158904346946,0.17716190410438756,7.584850469972969,2.191141049658486,8.629149316933956
0.004,0.4,25.0,1.0,52.516074521001656,6.470292673791674,0.5399563523966163,13.027656985934284,0.716,17.462610070411674,4.875158904346946,0.17716190410438756,10.44901096994347,2.191141049658486,8.629149316933956
0.004,0.4,50.0,1.0,32.007350675608066,6.470292673791674,0.5399563523966163,16.989237784146194,0.716,10.8255001733826,4.875158904346946,0.17716190410438756,18.099379166586235,2.191141049658486,8.629149316933956
0.004,0.8,12.0,1.0,74.25454130757271,6.470292673791674,0.5399563523966163,12.337515441024166,0.35,21.158638302433946,6.038940544971868,0.2062067863202192,10.905081520682764,4.081364688563615,16.07322601160995
0.004,0.8,25.0,1.0,46.15270475590133,6.470292673791674,0.5399563523966163,15.329823518505515,0.35,13.724372306220609,6.038940544971868,0.2062067863202192,19.173156584531128,4.081364688563615,16.07322601160995
0.004,0.8,50.0,1.0,28.541151943489005,6.470292673791674,0.5399563523966163,19.383124282759336,0.35,8.853754288972873,6.038940544971868,0.2062067863202192,29.209571587929723,4.081364688563615,16.07322601160995
0.004,1.5,12.0,0.68,55.98358668826117,7.250560165784398,0.581076611620149,16.585505850890193,0.176,14.905089278490472,6.978698246159389,0.22687367291698313,22.570519746257144,7.25989710120885,28.756058912725095
0.004,1.5,25.0,0.68,36.15946113058365,7.250560165784398,0.581076611620149,20.147692093804856,0.176,10.356468600403224,6.978698246159389,0.22687367291698313,33.579426875244685,7.25989710120885,28.756058912725095
0.004,1.5,50.0,0.68,23.133685595101998,7.250560165784398,0.581076611620149,26.73525112598529,0.176,7.033404778230238,6.978698246159389,0.22687367291698313,48.58909324527264,7.25989710120885,28.756058912725095
