scenario,initial_tvl,final_tvl,total_hack_events,total_hack_losses,total_insurance_payouts,final_lp_capital,final_utilization,final_revenue_share,protocol_profit,lp_profit,hack_frequency,loss_ratio
Base Case,132322025.5890987,117201874.56219961,1,34194463.844176866,34194463.844176866,70274355.83124542,0.5893691338504915,0.4587516212508921,90510983.1194987,-20499091.179604396,1.0,1.0
Base Case,112553300.7053861,173177987.92790747,0,0.0,0.0,88114253.9885992,0.39746799347882433,0.5239076405884001,4988188.855596786,8499898.852067143,0.0,0.0
Base Case,115399235.32130057,100625097.40855749,0,0.0,0.0,91108279.92562176,0.3982183702663584,0.3301028684451068,9042732.95032609,5627402.186069053,0.0,0.0
Base Case,132619685.38618633,136135379.14323497,0,0.0,0.0,104703822.02952427,0.39636523859654804,0.3878670757405383,9152028.901936172,7566744.724105002,0.0,0.0
Base Case,195054475.8520515,418600779.21261406,0,0.0,0.0,151907732.4653301,0.3903181263064711,0.44917914115790736,9576599.374706332,12822451.311675277,0.0,0.0
Base Case,83298975.66346093,101075388.71720415,0,0.0,0.0,65876511.54810934,0.4001122063487738,0.4227558206303641,5117527.765913973,5119139.541082609,0.0,0.0
Base Case,183929022.71540025,300151247.1454421,0,0.0,0.0,142524647.09493518,0.3927736039829513,0.3987448057230214,11218567.282087237,10698506.465859856,0.0,0.0
Base Case,61446243.406093575,46448293.13560206,0,0.0,0.0,48594563.648325376,0.40332178281616776,0.3730611347358882,4424193.522575688,3319944.942662709,0.0,0.0
Base Case,181014410.41877243,173597806.889556,1,57050097.36758198,55184819.01130854,85081335.66331193,0.64861251390891,0.6949349585032503,155455518.37385696,-36234946.346315,1.0,0.9673045543769158
Base Case,51556123.08285499,75593574.01516202,0,0.0,0.0,41184270.09240101,0.40391047078428116,0.4391487685611541,2907270.2278817226,3287348.5169415055,0.0,0.0
Base Case,165698096.4900119,263915148.76490605,0,0.0,0.0,130819888.88600309,0.39164353397856516,0.3620156185394925,11132663.044372492,8897592.65200675,0.0,0.0
Base Case,77040453.33151539,71661172.1590856,1,9597782.004812226,9597782.004812226,51329258.896035016,0.4756575427008417,0.37930587033822055,32022862.90274977,-5088030.508631292,1.0,1.0
Base Case,73124426.35695085,40572102.89680152,1,534349.4877613208,534349.4877613208,57495126.175518855,0.40525808343755665,0.3274027080715971,7070400.481524677,3102414.369995444,1.0,1.0
Base Case,166655361.586073,151957702.709062,3,35186282.44132738,35186282.44132738,93953245.54983978,0.5427854463463729,0.40784832999548,144088415.7071687,-36263729.41561213,3.0,1.0
Base Case,127091501.56590353,38006674.779182255,0,0.0,0.0,100339833.89859763,0.3967690938173796,0.3713567024866367,9890579.148358239,6912661.567633292,0.0,0.0
Base Case,177322654.5902868,139072503.00865936,0,0.0,0.0,138097888.42112613,0.3934177799651443,0.3251806307292773,14048474.516407052,8473473.613724764,0.0,0.0
Base Case,83493661.87303083,87083163.00405644,0,0.0,0.0,66030476.594263196,0.4000273450323464,0.4097312688863226,5403739.609416528,4973547.1971821245,0.0,0.0
Base Case,94199750.40306646,93583420.32383844,0,0.0,0.0,75122571.30054547,0.397509157478518,0.6038010451111502,3631974.905003517,8228195.7523624115,0.0,0.0
Base Case,147556136.26093876,169785900.71952704,0,0.0,0.0,116496741.59864251,0.39448183101408113,0.4645850718864458,8366709.014199852,10038547.737242986,0.0,0.0
Base Case,64630040.26241773,39362914.912674904,0,0.0,0.0,51112427.810411565,0.40268397512961895,0.42495883403754076,4300992.431575199,3951556.4358093543,0.0,0.0
Base Case,138219620.16159114,188098621.13187185,0,0.0,0.0,109125526.27498278,0.3946734516690206,0.4358646590142389,8120766.511893229,8836274.425341506,0.0,0.0
Base Case,57308732.12136909,58336831.88401806,0,0.0,0.0,45322466.88645387,0.4043816707975581,0.3374821298028802,4248446.022955115,2819926.916109741,0.0,0.0
Base Case,81269080.60382639,143195350.16447893,0,0.0,0.0,64810682.09389432,0.40045844789284657,0.38238111103697053,5081634.701234611,4592454.72033751,0.0,0.0
Base Case,127594682.57698838,94611084.1625428,1,7240292.825224975,7240292.825224975,93496804.41443221,0.4273210741783913,0.38051874267268276,23581870.319204874,1996632.1518966933,1.0,1.0
Base Case,194002595.5003878,163462319.41011232,0,0.0,0.0,151088535.07914248,0.3905386740294081,0.3760062340419902,13965377.75421214,10638158.242165402,0.0,0.0
Base Case,180518620.4940818,158487766.0428222,0,0.0,0.0,139881973.97646117,0.3935421484698257,0.46610688195195105,10599956.701677714,12139735.235734895,0.0,0.0
Base Case,96190242.89374563,102128120.2734275,0,0.0,0.0,75304246.06140576,0.39876340992614234,0.37895374440163954,6593628.692991177,5281504.274961018,0.0,0.0
Base Case,113858211.57783437,109173453.25880215,0,0.0,0.0,89889731.70998254,0.39862932874018797,0.4202908898567537,7348207.174840204,6998330.58318285,0.0,0.0
Base Case,159352061.34336787,122730831.02477042,1,71686540.95187594,49474007.8824648,76335661.87900919,0.6481113370167709,0.49458703119754965,154711868.7504515,-39868355.427038774,1.0,0.6901436061153698
Base Case,179563997.83551243,159679715.62862816,0,0.0,0.0,139142250.19188303,0.39375747312037024,0.3993359576173672,12152925.006339964,10408950.005107133,0.0,0.0
Base Case,146621530.41025025,117023837.29646698,0,0.0,0.0,115758866.68953604,0.39474394847057304,0.5727833735940234,6594919.872619482,12183998.844987445,0.0,0.0
Base Case,92908073.24907735,51991497.196254686,0,0.0,0.0,74092490.73167339,0.39808262583103304,0.44574250712275154,6043461.22279857,6033361.610746416,0.0,0.0
Base Case,178833390.09395596,248789198.8342914,1,38213748.54880063,38213748.54880063,100362363.89349638,0.5423489240904612,0.4700955244805959,102110600.1754817,-20805996.436927084,1.0,1.0
Base Case,87276519.11565949,89650497.41455187,0,0.0,0.0,69601465.65820998,0.4000564649660495,0.48826732412769747,4774165.246862233,6212190.448060176,0.0,0.0
Base Case,55784252.13221145,53992475.06148651,0,0.0,0.0,44561751.93209883,0.40334574475246315,0.3098912222058093,4446612.067215957,2549331.564812541,0.0,0.0
Base Case,118708242.23361358,125829997.39451404,0,0.0,0.0,92932720.72480522,0.39666572717148935,0.3933420021604712,7930698.216378996,6785230.618989588,0.0,0.0
Base Case,159276078.73935884,123895245.08166718,0,0.0,0.0,125749681.20374608,0.3932644821357308,0.3501660390204827,12232013.552028872,8242139.558592582,0.0,0.0
Base Case,191674490.42859602,166822469.17235157,0,0.0,0.0,149274968.22383502,0.3910319150049145,0.39759931902513307,13172449.25120865,11095733.778767187,0.0,0.0
Base Case,107715967.92751156,199647464.13955548,0,0.0,0.0,84327292.41061322,0.3981050650582032,0.37599117956731065,6667177.215329465,5923518.93839314,0.0,0.0
Base Case,132033373.4218032,121161614.89105198,0,0.0,0.0,104240928.84335566,0.39654887158958746,0.3145652361219944,10582292.216670657,6167439.365350692,0.0,0.0
Base Case,111153054.21204291,96055458.52565716,0,0.0,0.0,87018054.92322701,0.3979884871182767,0.6638595436145186,3465302.1005752906,10511788.486502651,0.0,0.0
Base Case,87638543.56174102,77414435.3363973,0,0.0,0.0,69890171.19597813,0.399920060854547,0.4707175117940834,5115553.880773774,6015899.4827798065,0.0,0.0
Base Case,106181017.82710437,115577613.39792727,1,13003624.477738488,13003624.477738488,70820728.5179394,0.47223843881366645,0.3992443969715054,59899275.856654674,-12057941.878776168,1.0,1.0
Base Case,67258184.95846684,74087968.8787994,0,0.0,0.0,53190861.718597196,0.4022541277257528,0.46312984053823997,3802477.368886556,4486596.494611315,0.0,0.0
Base Case,175226322.29984742,192417189.00073394,0,0.0,0.0,136465283.8144951,0.3927880764596092,0.40915585837735896,11406632.824418174,10436160.817619286,0.0,0.0
Base Case,198351727.02134,202119293.04282486,0,0.0,0.0,153700599.51683792,0.3904743594347177,0.4208697139717014,12611751.976817474,12088978.270481398,0.0,0.0
Base Case,167574852.6208626,203489114.85277605,0,0.0,0.0,129852028.77043796,0.3946671560071227,0.3594865676532819,11795029.026109397,8792538.253243312,0.0,0.0
Base Case,67023270.784047425,89080084.71732976,0,0.0,0.0,53005082.911836386,0.4024012750406878,0.4009008174931278,4230687.661955696,3901041.49573068,0.0,0.0
Base Case,52623540.6396729,65202938.593880825,1,5194724.27626986,5194724.27626986,36842212.17788182,0.45987588469076857,0.42004411792739704,18216695.382572554,-2045364.3400559088,1.0,1.0
Base Case,95144668.37838718,108620740.11058019,0,0.0,0.0,75876503.27398413,0.39791465846457863,0.3697819431186146,6699750.79933034,5192051.586847795,0.0,0.0
Base Case,124190246.83070321,91046849.74805494,0,0.0,0.0,98048781.86730362,0.39656621334869135,0.506138360024229,6852739.107136036,9112387.991197065,0.0,0.0
Base Case,151359712.32553285,89322524.24918766,0,0.0,0.0,119499679.5118541,0.39343445774484526,0.3692222941435401,11498361.367160402,8212881.738067127,0.0,0.0
Base Case,173466551.1064688,257488776.67453462,0,0.0,0.0,134417423.75896406,0.39324415439364807,0.3688994976101333,11543560.103872756,9339158.927953755,0.0,0.0
Base Case,176999361.08152008,177699484.96680516,0,0.0,0.0,137846110.36374772,0.3934926738597089,0.38027051809191964,12371362.770067152,9835468.609715343,0.0,0.0
Base Case,113027445.07111607,94369213.44929709,1,27703230.9418658,27703230.9418658,60782212.41448799,0.5783722216678366,0.45675340953153504,75829566.61470722,-17065791.57115093,1.0,1.0
Base Case,63966243.0007787,49187958.73098165,0,0.0,0.0,50587472.415518194,0.40311877188728523,0.4193242098503984,4213248.240914485,3867067.7830424155,0.0,0.0
Base Case,197628777.5813865,208427762.07616428,0,0.0,0.0,153912581.4432523,0.39089976870223764,0.4186658299690538,12618369.89686266,12054563.092709197,0.0,0.0
Base Case,63102446.435326256,36679131.83406426,0,0.0,0.0,49904350.183279775,0.4036882379630985,0.4449253377152785,4034440.4102437086,4033454.2863626,0.0,0.0
Base Case,104765837.45340408,67806866.25923198,1,12600709.650562217,12600709.650562217,69417039.20195837,0.4700568751609173,0.4192289538805073,26663883.96069856,-870519.6908395323,1.0,1.0
Base Case,188605267.3361638,194739136.31595072,0,0.0,0.0,146148203.8347977,0.39174416485921565,0.5419424328259717,8738971.058968266,14685547.057573374,0.0,0.0
Base Case,95130999.50699282,106377111.43126841,0,0.0,0.0,75865602.63220921,0.3978842945166272,0.4433061097982512,5801451.852229281,6170840.107056038,0.0,0.0
Base Case,173670421.38699228,92166323.4210747,0,0.0,0.0,134575399.9960857,0.393195871212147,0.343521412137282,13668167.624160396,8672873.512511548,0.0,0.0
Base Case,55063206.56348125,64799184.58267302,0,0.0,0.0,44350752.04190755,0.4032637302792598,0.41082514468649695,3530355.528092889,3317650.3434617156,0.0,0.0
Base Case,133091153.37508796,268123880.63714635,1,14968378.064270789,14968378.064270789,90107667.85426927,0.46204357153871506,0.7000159388181323,59840420.18626189,-6794054.140828848,1.0,1.0
Base Case,106864778.81506552,64321842.648521,0,0.0,0.0,84369273.44884422,0.39882182699425417,0.353666764091486,8256485.840396001,5543021.798465097,0.0,0.0
Base Case,82796757.5220809,49933066.38857244,0,0.0,0.0,65479338.89018095,0.3991647958037964,0.38373344754276867,6013723.5372438235,4608660.3654167885,0.0,0.0
Base Case,73143136.71969137,163180696.07882467,0,0.0,0.0,58044323.523390345,0.4015156306558995,0.39367233725357254,4070134.234575992,4235959.245349178,0.0,0.0
Base Case,131877714.49024679,90027534.93134758,0,0.0,0.0,104118036.14601907,0.3965977753109114,0.35646085215425033,10107406.502802096,6924535.876844569,0.0,0.0
Base Case,88905720.4922665,171316452.2123194,0,0.0,0.0,70901071.57981668,0.39933533041387537,0.4226503764194503,4945048.12984482,5543355.67324782,0.0,0.0
Base Case,94437374.25086503,56926061.43816513,0,0.0,0.0,75312227.08294097,0.39740472693711987,0.30158237655484205,8008199.931696366,4225651.660791389,0.0,0.0
Base Case,189122080.79284382,138449487.91624784,0,0.0,0.0,147285308.23655027,0.3915804365005547,0.4834945341919868,10909805.164898526,13216184.325803367,0.0,0.0
Base Case,77836291.2227809,145765975.518039,0,0.0,0.0,61556418.90317406,0.4002973651725515,0.3347622516976539,5185465.671961839,3842968.2710436727,0.0,0.0
Base Case,66010730.33829661,57551801.827712834,0,0.0,0.0,52204328.52452217,0.40179621892377293,0.35060958049114455,4901620.702933912,3365583.4476075307,0.0,0.0
Base Case,146403487.36791185,93745378.35557961,0,0.0,0.0,115586720.87006763,0.39480536584233694,0.5172131776169923,7986581.274415953,11004392.429185921,0.0,0.0
Base Case,80330344.0145362,152356823.69939288,1,21310281.466034733,21310281.466034733,42751781.42612583,0.600775115475054,0.47415691576286045,79697153.73999546,-20862963.540328313,1.0,1.0
Base Case,135341033.01788685,216781870.0661871,0,0.0,0.0,106852870.6678612,0.3955425654019147,0.42996547445206257,7717969.106976399,8561541.469367025,0.0,0.0
Base Case,96624469.9634533,79367664.10071972,1,32741334.43159917,30198511.973533247,45445673.74152331,0.664496958396749,0.5110782103183379,85688875.25495034,-21553860.64641023,1.0,0.9223360164693897
Base Case,187866354.76987725,113781688.27775018,0,0.0,0.0,145575630.79235077,0.39190495582940393,0.4407230067493623,12147787.509965628,11934240.033730747,0.0,0.0
Base Case,57227184.12503565,107768372.16680333,0,0.0,0.0,45257975.71860501,0.4044418665835267,0.5045068943215998,2462287.13968799,4158876.8616390787,0.0,0.0
Base Case,125100218.95105718,129791654.34435873,1,130594535.04566953,39245926.43872758,59521278.247319706,0.6593596037312062,0.6604865849545285,120052580.0168831,-29526016.131313547,1.0,0.30051737176447
Base Case,128287357.47503822,276436247.1297481,0,0.0,0.0,101283966.73235546,0.39638375710633666,0.3796561189453634,7574874.492154802,7226073.628371222,0.0,0.0
Base Case,103312867.67078547,97956868.4565348,0,0.0,0.0,80880274.75400117,0.3984214285643379,0.5351863539869885,4976403.079920804,7914266.292302411,0.0,0.0
Base Case,91283850.47020064,75164083.8163908,0,0.0,0.0,72796582.63166243,0.3982325524337001,0.3620088354600586,6780754.153760916,4865366.381491547,0.0,0.0
Base Case,88556364.06577098,103011909.71459933,0,0.0,0.0,70622467.06689651,0.39949761122356814,0.3818199692260505,6060648.142756433,4982681.582907053,0.0,0.0
Base Case,56906149.044722825,30530953.938724946,0,0.0,0.0,45457937.07777147,0.4025109534454985,0.470533426920019,3475897.8045771057,3854514.5214789556,0.0,0.0
Base Case,143056072.1829884,88332119.5583526,0,0.0,0.0,112943686.43556285,0.3957113358486195,0.6542166442143166,5069811.4828005405,13513353.287520431,0.0,0.0
Base Case,80391043.04433358,123788332.0105513,0,0.0,0.0,64110468.86647896,0.4008952783350716,0.30072860873813917,6164898.669236973,3611539.401995727,0.0,0.0
Base Case,148439627.78494352,196466832.38352433,0,0.0,0.0,117194261.55049288,0.39423572951959274,0.47533391219601695,8042579.226014147,10331007.078214645,0.0,0.0
Base Case,147132657.4029535,123762132.3606569,0,0.0,0.0,116162403.41360526,0.3946003710717491,0.519707902846414,7654108.41027407,11129050.356108319,0.0,0.0
Base Case,124954148.0703251,130016762.86326282,0,0.0,0.0,98651881.75304238,0.3963120783411741,0.46779765907732684,7159468.186485481,8518129.891920835,0.0,0.0
Base Case,72958129.81492203,65075159.50738177,0,0.0,0.0,57698588.66462657,0.4003163798595459,0.452629394574252,4384853.201543825,4753574.723993678,0.0,0.0
Base Case,80150539.41769609,118979981.1796641,0,0.0,0.0,63918673.17528984,0.4010208583229516,0.405214337956946,4980468.615230105,4777993.076716596,0.0,0.0
Base Case,182882074.91564384,255482572.8865775,0,0.0,0.0,141713381.84605432,0.39300737282092413,0.4231207467418159,10888624.633537987,11246391.59592747,0.0,0.0
Base Case,140953150.6664713,190014687.53364584,0,0.0,0.0,111283091.30893469,0.39556287017486813,0.383344801989915,9459413.3042739,7977385.202480868,0.0,0.0
Base Case,157907867.93659377,121503304.83844033,0,0.0,0.0,124669473.51942116,0.3936173215139135,0.40821863524099083,10848258.908322597,9466633.632446518,0.0,0.0
Base Case,84320523.13353518,98987624.5478854,0,0.0,0.0,66684389.02297418,0.39961871223285683,0.36373977009033354,5925099.851536428,4485257.699109514,0.0,0.0
Base Case,82203033.352524,80810701.98347859,0,0.0,0.0,65009799.88497644,0.3986165693240214,0.4575261646358222,4806410.804449719,5426546.318241569,0.0,0.0
Base Case,175541618.63967857,157378063.3413949,0,0.0,0.0,136710833.74911654,0.392714264938289,0.5279162234286363,8767450.73547288,13357373.60321863,0.0,0.0
Base Case,159840087.21032777,133911508.31700732,0,0.0,0.0,126194968.05803326,0.39311918806625157,0.43110552396112595,10334739.827090038,10102297.155731954,0.0,0.0
Base Case,150841783.79461876,207910883.07429767,0,0.0,0.0,119090772.94724147,0.39357537979474816,0.5458853104069858,6519569.261716027,12009046.99532509,0.0,0.0
Base Case,131510741.26864481,172442429.48492154,0,0.0,0.0,103828310.85623306,0.3966750057082363,0.34459601214172036,9502438.011455566,6718843.050147784,0.0,0.0
Base Case,127459794.15536693,169816941.3945451,1,10415743.709633641,10415743.709633641,90214858.6030229,0.4424474194864077,0.4124996842695124,42138916.46253456,-4191096.3316981103,1.0,1.0
Base Case,139652237.74040946,160973449.53599212,0,0.0,0.0,110256583.35639966,0.39592094335016503,0.45508998721257177,8132661.461299539,9312300.847857289,0.0,0.0
Base Case,114816680.84013538,79166228.87448694,0,0.0,0.0,90648353.27175061,0.3984291052935698,0.687959779391005,3434155.4407077413,11341520.326473286,0.0,0.0
Base Case,72188093.65221271,63777151.81501454,0,0.0,0.0,57089615.6223469,0.40076063863367223,0.4162105157419136,4714182.328698572,4340706.176516037,0.0,0.0
Base Case,62560988.58445733,111258935.18737037,0,0.0,0.0,49476145.31358936,0.4025644987985237,0.4109749774401223,3598270.989779607,3732647.237601899,0.0,0.0
Base Case,51284719.66225686,47387580.871134646,0,0.0,0.0,40967469.67935744,0.40413315652298687,0.4141568383670188,3347425.216426502,3078946.6148503046,0.0,0.0
Base Case,74405743.91677023,85225208.77778597,0,0.0,0.0,58843415.37061886,0.40132344210792115,0.3648323467595946,5195093.825694256,3962278.8668135977,0.0,0.0
Base Case,85041670.3975409,224718917.4986872,0,0.0,0.0,67817802.31862435,0.39856932919773624,0.36218910336357013,4822593.901719904,4588916.863058327,0.0,0.0
Base Case,141719076.74750003,253117706.15810722,0,0.0,0.0,111888125.62129699,0.39534404258173445,0.47038889830433334,7052630.599756537,9802527.790921036,0.0,0.0
Base Case,67408829.34576266,101480651.89572896,0,0.0,0.0,53309996.864810474,0.4021600643516637,0.4060966924669473,4109174.4354670662,3976016.8187998584,0.0,0.0
Base Case,141825526.3426428,82979346.3724018,0,0.0,0.0,111972167.80898489,0.3953130123922214,0.41379592496171896,9852314.513298735,8589895.241591338,0.0,0.0
Base Case,106258569.33099277,146838127.24412417,2,28539259.373445448,28539259.373445448,55346316.03120279,0.6046679327939358,0.5320966590138573,94353096.87709731,-23346257.75080474,2.0,1.0
Base Case,177797823.90951324,324526129.4229624,0,0.0,0.0,138467945.98453668,0.39330773405310177,0.5046848072351173,7867686.738945512,13063057.474722657,0.0,0.0
Base Case,72744795.07627201,93912268.66013762,0,0.0,0.0,57529875.6728074,0.4004389390680452,0.32232719625655326,5422412.3896618355,3439968.941543375,0.0,0.0
Base Case,79413846.4609909,161586798.0366286,0,0.0,0.0,63331178.77114763,0.4005473273669812,0.37572342694321,4845408.449789677,4418518.136629632,0.0,0.0
Base Case,106275294.99331684,103740044.38904457,0,0.0,0.0,83903881.89959703,0.3990525062682728,0.41389002276,6951257.759798125,6424015.3370656,0.0,0.0
Base Case,117711668.97221932,330954227.30194086,0,0.0,0.0,92152541.88992952,0.39701546498217416,0.53103194196723,3801889.8454634603,9096204.095851364,0.0,0.0
Base Case,191397735.60400677,110207400.40029848,0,0.0,0.0,149059434.07231122,0.3910909852400009,0.3780000347848196,14152240.113417257,10533644.27806974,0.0,0.0
Base Case,177176562.8843176,171794139.23054338,0,0.0,0.0,137984113.52329928,0.39345167926355695,0.4997035291527126,9516631.878827669,12803570.875204455,0.0,0.0
Base Case,151693332.23128635,340093768.51073635,0,0.0,0.0,119763073.70894006,0.3933439134762603,0.5500879144148156,5313864.00142248,12239140.458848769,0.0,0.0
Base Case,66699624.20078666,75436423.24113744,2,23960139.72280051,21341748.987528875,31407382.250897422,0.6761805421547116,0.5537795549473508,68289458.38217491,-17802373.96884926,2.0,0.8907188870530681
Base Case,73548775.68374999,54683107.85705176,0,0.0,0.0,58366223.78139768,0.4012835737159857,0.32983403590318155,5798095.900759779,3558726.035626065,0.0,0.0
